Open,High,Low,Volume,MA5,MA20,Daily_Return,Daily_Range,Volume_Ratio,Volatility,Momentum,Close
-1.4133749578342691,-1.4128239934860687,-1.4076247691215422,-1.0248254126375174,-1.413828096754082,-1.4339337896692896,0.19289276350173143,-1.0874493510866903,-0.9314472473896178,3.2675700440388176,-0.05241821233334574,20.719999
-1.411514211018015,-1.4129901356423253,-1.4120081099472837,-0.9949872942853157,-1.4149331126424531,-1.435438430623079,-0.6152083608173226,-1.0029509054812331,-0.18289263821223878,3.2728359336643944,-0.12775131312925853,20.35
-1.4163352064885724,-1.4166450637193475,-1.4158757722118416,-1.0329065696912387,-1.4172281456413784,-1.4363118133004846,-0.6860389173581521,-1.0012259265498655,-0.7936286524521392,3.086197153139038,-0.17360624404851,19.940001
-1.4137978444578114,-1.4122425333192874,-1.409171830589451,-0.9745136929159623,-1.4172791480747124,-1.4355681406177616,1.4570160810106179,-1.0443379837105957,0.6348092042723611,2.5593021805382,-0.0871370112506801,20.92
-1.4095688936433737,-1.4041019580772682,-1.4049603854823658,-0.8717646885902356,-1.4148991104535558,-1.433043110971173,1.4597326699488629,-0.9598390207666619,1.9531145574120568,1.2854314513109013,0.006538258434065762,21.950001
-1.4015338786380407,-1.4021914271139748,-1.404702541904381,-0.9354313725742681,-1.4139810955539613,-1.4306823811988487,-1.0351313293140263,-0.9253499613550192,0.4017564004684668,1.3381824386787609,-0.0497978650594872,21.26
-1.4050016183058796,-1.4074246516819322,-1.4115783792454282,-0.958852691280835,-1.413811091409572,-1.4293895997445063,-1.2412434563704915,-0.896034114275887,-0.0932848357370669,1.0114993233861305,-0.07862096449444525,20.450001
-1.4171810051093614,-1.4189709459199356,-1.4161336071950406,-0.9697411981795215,-1.4144061016648732,-1.4284427136270357,-1.3635325697320178,-1.0443378112644368,-0.4278571267797513,1.1419390750855933,-0.108099265385195,19.59
-1.4188725854351365,-1.4204661505660114,-1.4167352336155525,-0.9555440289635546,-1.416650133930489,-1.427340174564736,-0.0471612124813002,-1.0633070612323874,-0.27259101301534855,1.1033120406594092,-0.17164103272339915,19.6
-1.4209870608423554,-1.4232073590838168,-1.4221499573480194,-0.8615780191527904,-1.4216142053059424,-1.4269553660997492,-0.9623441464734355,-1.011573040999525,1.013400567460567,0.9796087712363851,-0.27645230339597365,19.030001
-1.429106637948174,-1.4296035205987219,-1.4304868997028612,-0.9585719562963385,-1.4273262874366008,-1.4277941601946775,-1.899372061976531,-0.9770839815878817,-0.28240920513233075,0.6556530443971096,-0.30527540283093174,17.9
-1.436634187313676,-1.437744070920664,-1.4344405098267476,-0.9799479201158593,-1.432171358801023,-1.428784282688797,-0.5812719596790065,-1.0667556395258493,-0.5402982826109611,0.6608786283159553,-0.27186687581109253,17.6
-1.433420176236802,-1.4331753817509625,-1.4321199090300984,-0.9913778444846463,-1.4343303898444564,-1.429787376225622,1.202233075139688,-1.018470714924926,-0.660262025237041,0.678623269086787,-0.16836568051488116,18.32
-1.431136534339104,-1.4302680559969776,-1.4269630374704023,-1.0210956478434923,-1.4357244081882237,-1.4311406879154833,0.7135961061597166,-1.0615825996394976,-0.9842334962360072,0.4475077336104979,-0.13888744513117565,18.780001
-1.4268230214241808,-1.4252840322033662,-1.4224937401905464,-1.028695544923791,-1.43552040695501,-1.43163791078681,0.5463611981237607,-1.0477869068963763,-0.7087144261737985,0.16009950482833138,-0.07731095462512634,19.15
-1.4214945349400878,-1.4237057606325085,-1.4240408102532411,-0.9979350116225293,-1.4340413856890362,-1.4322648440851873,-0.6766363189683452,-0.9839816555132831,0.10165459739843555,0.18113212160913408,-0.028180605990312836,18.77
-1.4303753231925054,-1.426530036075096,-1.4263614024551046,-1.0023866663766883,-1.43201835490107,-1.4332203771320933,-0.02999324444761886,-0.9960528866635133,0.10779526431006789,0.04726943646452669,-0.007218286348753926,18.790001
-1.4294449624712307,-1.4276929647153513,-1.4248143409871956,-1.0591552907416635,-1.4306923358350243,-1.4341672636819323,0.4472823180631551,-1.0512354851898382,-1.010664412733695,0.055530933119235085,-0.034076239965645135,19.1
-1.4257234857545253,-1.4170604149566426,-1.4206028958801105,-0.9003194470133103,-1.428397306236148,-1.4345218063806073,1.6048225797976061,-0.9150033642438377,2.022293974981872,0.28196588662990973,0.0032626441973712794,20.129999
-1.4243702214939054,-1.4227089658418173,-1.421032626581966,-0.9835373174176363,-1.4283123033139413,-1.4351055024375994,-1.4917473062217599,-1.023644617042074,0.07183473764730637,0.39583304356799026,-0.08189631670296302,19.200001
-1.4251314326405042,-1.4204661505660114,-1.4243846102853401,-1.0175864605372857,-1.4263912756926187,-1.4354600438391703,1.064584371874182,-0.9098296345728488,-0.533685218508174,0.4877481537676504,-0.01114877450601962,19.9
-1.4189571729093269,-1.4180572097473336,-1.4154460243204146,-1.0315229472676488,-1.4247592539267404,-1.4357194646932718,-0.2960636440667189,-1.039164426485767,-0.7300183280809415,0.47207820302625286,-0.02228503752202477,19.75
-1.4201412706794678,-1.4213798784319207,-1.416305502913697,-1.0423914016674427,-1.4237392375605271,-1.4358232330349125,-0.14124192886156,-1.0908981018263109,-1.00412036933441,0.44669241868942344,-0.04586744240926574,19.700001
-1.42056415730301,-1.4187217368388971,-1.4153600678663,-0.9715659755787489,-1.424181240515827,-1.4362772190972222,0.20393155903579052,-1.0546845808217777,0.8511422458272755,0.28109912536280907,-0.10220343488873045,19.870001
